"0","1","2"
" Phenotype"," Genotype"," Gene Formula"
"Black Velvet (or TOV Standard)","Standard + TOV (StdStd + BlStd)","BlStd + StdStd"
"Hetero Beige","Standard + Beige (StdStd + PwStd)","PwStd + StdStd"
"Standard Grey","Standard + Standard (StdStd + StdStd)","StdStd "
" White (Mosaic, Wilson, or Silver)","Standard + White (StdStd + WStd)","WStd + StdStd"
" Phenotype"," Genotype"," Gene Formula "
"Homo Beige","Homozygous Beige (PwPw)","PwPw"
"Homo Beige Pink White"," White + Homo Beige (WStd + PwPw)","WPw + PwStd"
"Pink White (or Beige Mosaic)","White + Hetero Beige (WStd + PwStd)","WPw + WStd + PwStd + StdStd"
" TOV Beige (or Brown Velvet)","Hetero Beige + Black Velvet (PwStd + BlStd)","BlPw + PwStd + BlStd + StdStd"
"TOV Homo Beige","Homo Beige + Black Velvet (PwPw + BlStd)","BlPw + PwStd"
"TOV Homo Beige Pink White","TOV White + Homo Beige (WBlStd + PwPw)","WPw + BlPw + PwStd + WBlPw"
"TOV Pink White (or TOV Beige Mosaic)","TOV White + Hetero Beige (WBlStd + PwStd)","WPw + WStd + BlPw + BlStd + PwStd + StdStd + WBlPw + WBlStd "
"TOV White (or Black and White)","White + Black Velvet (WStd + BlStd)","WBl + WStd + BlStd + StdStd"
" Phenotype"," Genotype"," Gene Formula "
"Ebony/Sapphire carrier","Homo Ebony + Hetero Sapphire (BB + Stds)","BStd + Bs"
"Ebony/Violet carrier","Homo Ebony + Hetero Violet (BB + Stdv) ","BStd + Bv"
"Homo Ebony","Homo Ebony (BB) ","BB"
"Sapphire","Homo Sapphire (ss) ","ss (I changed this nomenclature 6/02)"
"Sapphire/Violet carrier","Homo Sapphire + Hetero Violet (ss + Stdv)","Stds + sv"
"Solid Sapphire","Homo Ebony + Homo Sapphire (BB + ss)","Bs"
"Solid Violet","Homo Ebony + Homo Violet (BB + vv)","Bv"
"Violet","Homo Violet (vv) ","v v (I changed this nomenclature 6/02)"
"Violet and Sapphire (or Sapphire and Violet)","Homo Violet + Homo Sapphire (vv + ss)","vs"
"Violet/Sapphire carrier","Homo Violet + Hetero Sapphire (vv + Stds)","Stdv + vs"
" Phenotype"," Genotype"," Gene Formula "
"Beige/Sapphire carrier","Hetero Beige + Hetero Sapphire (PwStd + Stds) ","PwStd + Pws + StdStd + Stds"
"Beige/Violet carrier","Hetero Beige + Hetero Violet (PwStd + Stdv)","PwStd + Pwv + StdStd + Stdv"
"Beige Sapphire","Hetero Beige + Homo Sapphire (PwStd + ss)","Pws + Stds"
"Beige Violet","Hetero Beige + Homo Violet (PwStd + vv)","Pwv + Stdv"
"Black Velvet/Sapphire carrier","Black Velvet + Hetero Sapphire (BlStd + Stds)","BlStd + Bls + StdStd + Stds"
"Black Velvet/Violet carrier","Black Velvet + Hetero Violet (BlStd + Stdv) ","BlStd + Blv + StdStd + Stdv"
"Hetero Ebony, light (or Standard/Ebony carrier)","Standard + Hetero Ebony (StdStd + StdB)","StdStd + StdB"
"Hetero Ebony, medium light","Hetero Ebony + Hetero Ebony (StdB + StdB)","StdStd + StdB + StdB + BB"
"Hetero Ebony, medium","Standard + Homo Ebony (StdStd + BB)"," "
"Hetero Ebony, dark","Hetero Ebony + Homo Ebony (StdB + BB)","StdB + BB "
"Homo Beige Sapphire","Homo Beige + Homo Sapphire (PwPw + ss)"," "
"Homo Beige Violet","Homo Beige + Homo Violet (PwPw + vv)"," "
" Homo Beige Pastel ","Homo Beige + Hetero Ebony (PwPw + StdB)","PwStd + PwB"
"Homo Beige/Sapphire carrier","Homo Beige + Hetero Sapphire (PwPw + Stds)","PwStd + Pws"
" Homo Beige Tan ","Homo Beige + Homo Ebony (PwPw + BB)","PwB"
"Homo Beige/Violet carrier","Homo Beige + Hetero Violet (PwPw + Stdv)","PwStd + Pwv"
"Pastel, light (or Beige/Ebony carrier)","Hetero Beige + Hetero Ebony (PwStd + BStd)","PwB + PwStd + StdB + StdStd"
"Pastel, dark","Hetero Beige + Homo Ebony (PwStd + BB)","PwB + StdB "
"Standard/Sapphire carrier","Standard + Hetero Sapphire (StdStd + Stds)","StdStd + Stds"
"Standard/Violet carrier","Standard + Hetero Violet (StdStd + Stdv)","StdStd + Stdv"
"Standard/Violet and Sapphire carrier","Hetero Violet + Hetero Sapphire (Stdv + Stds)","StdStd + Stds + Stdv + vs"
"Tan, dark ","Tan + Homo Ebony (PwB/B + BB)","PwBB + BB"
"Tan, medium ","Pastel + Homo Ebony (PwB + BB) ","PwB + BB "
"TOV Hetero Ebony, dark","Black Velvet + Homo Ebony (BlStd + BB)","BlB + StdB "
"TOV Hetero Ebony, light (or Black Velvet/Ebony carrier)","Black Velvet + Hetero Ebony (BlStd + StdB)","BlStd + BlB + StdStd + StdB "
"TOV Homo Ebony, dark","TOV Homo Ebony + Homo Ebony (BlB/B + BB)","BlBB + BB"
"TOV Homo Ebony, light","TOV Hetero Ebony + Homo Ebony (BlB + BB)","BlB + BB"
"TOV Pastel, dark","TOV Beige + Homo Ebony (BlPwStd + BB)","BlB + PwB + StdB + BlPwB"
"TOV Pastel, light (or Brown Velvet/Ebony carrier)","TOV Beige + Hetero Ebony (BlPwStd + StdB)","BlStd + BlB + PwStd + PwB + StdStd + StdB + BlPwStd + BlPwB "
"TOV Sapphire","Black Velvet + Homo Sapphire (BlStd + ss)","Bls + Stds"
"TOV Tan, dark","TOV Tan + Homo Ebony (BlPwStdB/B + BB)","BlB + PwB + StdBB + BB +BlPwB + BlBB + BlPwBB + BlBBB"
"TOV Tan, medium","TOV Pastel + Homo Ebony (BlPwStdB + BB)","BlB + PwB + StdB + BB + BlPwB + BlBB"
"TOV Violet","Black Velvet + Homo Violet (BlStd + vv)","Blv + Stdv "
"White and Ebony, dark","WhiteEbony + Homo Ebony (WB/StdB + BB)","WBB + StdBB "
"White and Ebony, light (or White Mosaic/Ebony carrier)","White + Hetero Ebony (WStd + StdB)","WStd + WB + StdStd + StdB "
"White and Ebony, medium light","White + Homo Ebony (WStd + BB)","WB + StdB "
"White and Ebony, medium","WhiteEbony + Hetero Ebony (WB/StdB + StdB)","WBStd + WBB + StdB + StdBB"
"White and Pastel, dark","Pink White + Homo Ebony (PwWStd + BB)","PwB + WB + StdB + PwWB "
"White and Pastel, light (or Pink White/Ebony carrier)","Pink White + Hetero Ebony (PwWStd + StdB)","PwStd + PwB + WStd + WB + StdStd + StdB + PwWStd + PwWB "
"White and Sapphire","White + Homo Sapphire (WStd + ss)","Ws + Stds "
"White and Tan, dark","Tan White + Homo Ebony (PwBBWStd + BB)","PwBB + BB + WB + StdB + PwBB + PwWB "
"White and Tan, medium","Pastel White + Homo Ebony (PwBWStd + BB)","PwB + BB + WB + StdB + PwBB + PwWB "
"White and Violet","White + Homo Violet (WStd + vv)","Wv + Stdv "
"White/Sapphire Carrier","White + Hetero Sapphire (WStd + Stds)","WStd + Ws + StdStd + Stds "
"White/Violet carrier","White + Hetero Violet (WStd + Stdv)","WStd + Wv + StdStd + Stdv"